"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"24 weeks"	"24"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"No prenatal care"	"00"	"2015"	"2015"	98	294	333.33
	"24 weeks"	"24"	"No prenatal care"	"00"	"2016"	"2016"	126	318	396.23
	"24 weeks"	"24"	"No prenatal care"	"00"	"2017"	"2017"	105	336	312.50
	"24 weeks"	"24"	"No prenatal care"	"00"	"2018"	"2018"	103	295	349.15
"Total"	"24 weeks"	"24"	"No prenatal care"	"00"			432	1243	347.55
	"24 weeks"	"24"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"1st month"	"01"	"2015"	"2015"	145	499	290.58
	"24 weeks"	"24"	"1st month"	"01"	"2016"	"2016"	119	416	286.06
	"24 weeks"	"24"	"1st month"	"01"	"2017"	"2017"	141	447	315.44
	"24 weeks"	"24"	"1st month"	"01"	"2018"	"2018"	111	391	283.89
"Total"	"24 weeks"	"24"	"1st month"	"01"			515	1753	293.78
	"24 weeks"	"24"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"2nd month"	"02"	"2015"	"2015"	387	1199	322.77
	"24 weeks"	"24"	"2nd month"	"02"	"2016"	"2016"	405	1231	329.00
	"24 weeks"	"24"	"2nd month"	"02"	"2017"	"2017"	372	1215	306.17
	"24 weeks"	"24"	"2nd month"	"02"	"2018"	"2018"	370	1215	304.53
"Total"	"24 weeks"	"24"	"2nd month"	"02"			1534	4860	315.64
	"24 weeks"	"24"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"3rd month"	"03"	"2015"	"2015"	274	811	337.85
	"24 weeks"	"24"	"3rd month"	"03"	"2016"	"2016"	330	843	391.46
	"24 weeks"	"24"	"3rd month"	"03"	"2017"	"2017"	301	875	344.00
	"24 weeks"	"24"	"3rd month"	"03"	"2018"	"2018"	275	793	346.78
"Total"	"24 weeks"	"24"	"3rd month"	"03"			1180	3322	355.21
	"24 weeks"	"24"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"4th month"	"04"	"2015"	"2015"	105	298	352.35
	"24 weeks"	"24"	"4th month"	"04"	"2016"	"2016"	111	297	373.74
	"24 weeks"	"24"	"4th month"	"04"	"2017"	"2017"	95	286	332.17
	"24 weeks"	"24"	"4th month"	"04"	"2018"	"2018"	100	281	355.87
"Total"	"24 weeks"	"24"	"4th month"	"04"			411	1162	353.70
	"24 weeks"	"24"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"5th month"	"05"	"2015"	"2015"	39	157	248.41
	"24 weeks"	"24"	"5th month"	"05"	"2016"	"2016"	48	145	331.03
	"24 weeks"	"24"	"5th month"	"05"	"2017"	"2017"	63	163	386.50
	"24 weeks"	"24"	"5th month"	"05"	"2018"	"2018"	70	171	409.36
"Total"	"24 weeks"	"24"	"5th month"	"05"			221	636	347.48
	"24 weeks"	"24"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"6th month"	"06"	"2015"	"2015"	23	55	418.18
	"24 weeks"	"24"	"6th month"	"06"	"2016"	"2016"	20	44	454.55
	"24 weeks"	"24"	"6th month"	"06"	"2017"	"2017"	12	33	363.64 (Unreliable)
	"24 weeks"	"24"	"6th month"	"06"	"2018"	"2018"	15	49	306.12 (Unreliable)
"Total"	"24 weeks"	"24"	"6th month"	"06"			70	181	386.74
	"24 weeks"	"24"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"24 weeks"	"24"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"24 weeks"	"24"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"24 weeks"	"24"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"24 weeks"	"24"	"7th month"	"07"			0	0	0.00
	"24 weeks"	"24"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"24 weeks"	"24"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"24 weeks"	"24"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"24 weeks"	"24"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"24 weeks"	"24"	"8th month"	"08"			0	0	0.00
	"24 weeks"	"24"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"24 weeks"	"24"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"24 weeks"	"24"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"24 weeks"	"24"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"24 weeks"	"24"	"9th month"	"09"			0	0	0.00
	"24 weeks"	"24"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"24 weeks"	"24"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"24 weeks"	"24"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"24 weeks"	"24"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"24 weeks"	"24"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"24 weeks"	"24"	"10th month"	"10"			0	0	0.00
"Total"	"24 weeks"	"24"					4363	13157	331.61
	"25 weeks"	"25"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"No prenatal care"	"00"	"2015"	"2015"	67	292	229.45
	"25 weeks"	"25"	"No prenatal care"	"00"	"2016"	"2016"	66	303	217.82
	"25 weeks"	"25"	"No prenatal care"	"00"	"2017"	"2017"	76	331	229.61
	"25 weeks"	"25"	"No prenatal care"	"00"	"2018"	"2018"	84	342	245.61
"Total"	"25 weeks"	"25"	"No prenatal care"	"00"			293	1268	231.07
	"25 weeks"	"25"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"1st month"	"01"	"2015"	"2015"	89	506	175.89
	"25 weeks"	"25"	"1st month"	"01"	"2016"	"2016"	84	473	177.59
	"25 weeks"	"25"	"1st month"	"01"	"2017"	"2017"	76	447	170.02
	"25 weeks"	"25"	"1st month"	"01"	"2018"	"2018"	82	430	190.70
"Total"	"25 weeks"	"25"	"1st month"	"01"			332	1856	178.88
	"25 weeks"	"25"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"2nd month"	"02"	"2015"	"2015"	268	1383	193.78
	"25 weeks"	"25"	"2nd month"	"02"	"2016"	"2016"	282	1356	207.96
	"25 weeks"	"25"	"2nd month"	"02"	"2017"	"2017"	265	1335	198.50
	"25 weeks"	"25"	"2nd month"	"02"	"2018"	"2018"	249	1290	193.02
"Total"	"25 weeks"	"25"	"2nd month"	"02"			1063	5364	198.17
	"25 weeks"	"25"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"3rd month"	"03"	"2015"	"2015"	205	924	221.86
	"25 weeks"	"25"	"3rd month"	"03"	"2016"	"2016"	210	914	229.76
	"25 weeks"	"25"	"3rd month"	"03"	"2017"	"2017"	233	929	250.81
	"25 weeks"	"25"	"3rd month"	"03"	"2018"	"2018"	180	927	194.17
"Total"	"25 weeks"	"25"	"3rd month"	"03"			828	3694	224.15
	"25 weeks"	"25"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"4th month"	"04"	"2015"	"2015"	82	334	245.51
	"25 weeks"	"25"	"4th month"	"04"	"2016"	"2016"	81	325	249.23
	"25 weeks"	"25"	"4th month"	"04"	"2017"	"2017"	67	322	208.07
	"25 weeks"	"25"	"4th month"	"04"	"2018"	"2018"	64	312	205.13
"Total"	"25 weeks"	"25"	"4th month"	"04"			295	1293	228.15
	"25 weeks"	"25"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"5th month"	"05"	"2015"	"2015"	38	172	220.93
	"25 weeks"	"25"	"5th month"	"05"	"2016"	"2016"	44	182	241.76
	"25 weeks"	"25"	"5th month"	"05"	"2017"	"2017"	51	178	286.52
	"25 weeks"	"25"	"5th month"	"05"	"2018"	"2018"	37	154	240.26
"Total"	"25 weeks"	"25"	"5th month"	"05"			171	686	249.27
	"25 weeks"	"25"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"6th month"	"06"	"2015"	"2015"	18	82	219.51 (Unreliable)
	"25 weeks"	"25"	"6th month"	"06"	"2016"	"2016"	14	55	254.55 (Unreliable)
	"25 weeks"	"25"	"6th month"	"06"	"2017"	"2017"	20	102	196.08
	"25 weeks"	"25"	"6th month"	"06"	"2018"	"2018"	20	73	273.97
"Total"	"25 weeks"	"25"	"6th month"	"06"			72	312	230.77
	"25 weeks"	"25"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"25 weeks"	"25"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"25 weeks"	"25"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"25 weeks"	"25"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"25 weeks"	"25"	"7th month"	"07"			0	0	0.00
	"25 weeks"	"25"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"25 weeks"	"25"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"25 weeks"	"25"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"25 weeks"	"25"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"25 weeks"	"25"	"8th month"	"08"			0	0	0.00
	"25 weeks"	"25"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"25 weeks"	"25"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"25 weeks"	"25"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"25 weeks"	"25"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"25 weeks"	"25"	"9th month"	"09"			0	0	0.00
	"25 weeks"	"25"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"25 weeks"	"25"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"25 weeks"	"25"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"25 weeks"	"25"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"25 weeks"	"25"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
