"Notes"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"NICU Admission"	"NICU Admission Code"	"Year"	"Year Code"	Births
"Total"	"2nd month"	"02"	"40 weeks"	"40"					1151160
	"2nd month"	"02"	"41 weeks"	"41"	"Yes"	"1"	"2016"	"2016"	3896
	"2nd month"	"02"	"41 weeks"	"41"	"Yes"	"1"	"2017"	"2017"	4070
	"2nd month"	"02"	"41 weeks"	"41"	"Yes"	"1"	"2018"	"2018"	3724
	"2nd month"	"02"	"41 weeks"	"41"	"Yes"	"1"	"2019"	"2019"	3060
"Total"	"2nd month"	"02"	"41 weeks"	"41"	"Yes"	"1"			14750
	"2nd month"	"02"	"41 weeks"	"41"	"No"	"2"	"2016"	"2016"	83049
	"2nd month"	"02"	"41 weeks"	"41"	"No"	"2"	"2017"	"2017"	79681
	"2nd month"	"02"	"41 weeks"	"41"	"No"	"2"	"2018"	"2018"	73712
	"2nd month"	"02"	"41 weeks"	"41"	"No"	"2"	"2019"	"2019"	63132
"Total"	"2nd month"	"02"	"41 weeks"	"41"	"No"	"2"			299574
"Total"	"2nd month"	"02"	"41 weeks"	"41"					314324
	"2nd month"	"02"	"42 weeks"	"42"	"Yes"	"1"	"2016"	"2016"	173
	"2nd month"	"02"	"42 weeks"	"42"	"Yes"	"1"	"2017"	"2017"	157
	"2nd month"	"02"	"42 weeks"	"42"	"Yes"	"1"	"2018"	"2018"	122
	"2nd month"	"02"	"42 weeks"	"42"	"Yes"	"1"	"2019"	"2019"	110
"Total"	"2nd month"	"02"	"42 weeks"	"42"	"Yes"	"1"			562
	"2nd month"	"02"	"42 weeks"	"42"	"No"	"2"	"2016"	"2016"	2949
	"2nd month"	"02"	"42 weeks"	"42"	"No"	"2"	"2017"	"2017"	2591
	"2nd month"	"02"	"42 weeks"	"42"	"No"	"2"	"2018"	"2018"	2223
	"2nd month"	"02"	"42 weeks"	"42"	"No"	"2"	"2019"	"2019"	1808
"Total"	"2nd month"	"02"	"42 weeks"	"42"	"No"	"2"			9571
"Total"	"2nd month"	"02"	"42 weeks"	"42"					10133
	"2nd month"	"02"	"43 weeks"	"43"	"Yes"	"1"	"2016"	"2016"	10
	"2nd month"	"02"	"43 weeks"	"43"	"Yes"	"1"	"2017"	"2017"	4
	"2nd month"	"02"	"43 weeks"	"43"	"Yes"	"1"	"2018"	"2018"	4
	"2nd month"	"02"	"43 weeks"	"43"	"Yes"	"1"	"2019"	"2019"	4
"Total"	"2nd month"	"02"	"43 weeks"	"43"	"Yes"	"1"			22
	"2nd month"	"02"	"43 weeks"	"43"	"No"	"2"	"2016"	"2016"	87
	"2nd month"	"02"	"43 weeks"	"43"	"No"	"2"	"2017"	"2017"	67
	"2nd month"	"02"	"43 weeks"	"43"	"No"	"2"	"2018"	"2018"	54
	"2nd month"	"02"	"43 weeks"	"43"	"No"	"2"	"2019"	"2019"	36
"Total"	"2nd month"	"02"	"43 weeks"	"43"	"No"	"2"			244
"Total"	"2nd month"	"02"	"43 weeks"	"43"					266
	"2nd month"	"02"	"44 weeks"	"44"	"Yes"	"1"	"2016"	"2016"	3
	"2nd month"	"02"	"44 weeks"	"44"	"Yes"	"1"	"2017"	"2017"	1
	"2nd month"	"02"	"44 weeks"	"44"	"Yes"	"1"	"2018"	"2018"	1
	"2nd month"	"02"	"44 weeks"	"44"	"Yes"	"1"	"2019"	"2019"	3
"Total"	"2nd month"	"02"	"44 weeks"	"44"	"Yes"	"1"			8
	"2nd month"	"02"	"44 weeks"	"44"	"No"	"2"	"2016"	"2016"	15
	"2nd month"	"02"	"44 weeks"	"44"	"No"	"2"	"2017"	"2017"	15
	"2nd month"	"02"	"44 weeks"	"44"	"No"	"2"	"2018"	"2018"	7
	"2nd month"	"02"	"44 weeks"	"44"	"No"	"2"	"2019"	"2019"	3
"Total"	"2nd month"	"02"	"44 weeks"	"44"	"No"	"2"			40
"Total"	"2nd month"	"02"	"44 weeks"	"44"					48
	"2nd month"	"02"	"45 weeks"	"45"	"Yes"	"1"	"2016"	"2016"	0
	"2nd month"	"02"	"45 weeks"	"45"	"Yes"	"1"	"2017"	"2017"	0
	"2nd month"	"02"	"45 weeks"	"45"	"Yes"	"1"	"2018"	"2018"	0
	"2nd month"	"02"	"45 weeks"	"45"	"Yes"	"1"	"2019"	"2019"	0
"Total"	"2nd month"	"02"	"45 weeks"	"45"	"Yes"	"1"			0
	"2nd month"	"02"	"45 weeks"	"45"	"No"	"2"	"2016"	"2016"	3
	"2nd month"	"02"	"45 weeks"	"45"	"No"	"2"	"2017"	"2017"	4
	"2nd month"	"02"	"45 weeks"	"45"	"No"	"2"	"2018"	"2018"	7
	"2nd month"	"02"	"45 weeks"	"45"	"No"	"2"	"2019"	"2019"	2
"Total"	"2nd month"	"02"	"45 weeks"	"45"	"No"	"2"			16
"Total"	"2nd month"	"02"	"45 weeks"	"45"					16
	"2nd month"	"02"	"46 weeks"	"46"	"Yes"	"1"	"2016"	"2016"	0
	"2nd month"	"02"	"46 weeks"	"46"	"Yes"	"1"	"2017"	"2017"	0
	"2nd month"	"02"	"46 weeks"	"46"	"Yes"	"1"	"2018"	"2018"	0
	"2nd month"	"02"	"46 weeks"	"46"	"Yes"	"1"	"2019"	"2019"	0
"Total"	"2nd month"	"02"	"46 weeks"	"46"	"Yes"	"1"			0
	"2nd month"	"02"	"46 weeks"	"46"	"No"	"2"	"2016"	"2016"	0
	"2nd month"	"02"	"46 weeks"	"46"	"No"	"2"	"2017"	"2017"	0
	"2nd month"	"02"	"46 weeks"	"46"	"No"	"2"	"2018"	"2018"	0
	"2nd month"	"02"	"46 weeks"	"46"	"No"	"2"	"2019"	"2019"	0
"Total"	"2nd month"	"02"	"46 weeks"	"46"	"No"	"2"			0
"Total"	"2nd month"	"02"	"46 weeks"	"46"					0
	"2nd month"	"02"	"47 weeks"	"47"	"Yes"	"1"	"2016"	"2016"	0
	"2nd month"	"02"	"47 weeks"	"47"	"Yes"	"1"	"2017"	"2017"	0
	"2nd month"	"02"	"47 weeks"	"47"	"Yes"	"1"	"2018"	"2018"	0
	"2nd month"	"02"	"47 weeks"	"47"	"Yes"	"1"	"2019"	"2019"	0
"Total"	"2nd month"	"02"	"47 weeks"	"47"	"Yes"	"1"			0
	"2nd month"	"02"	"47 weeks"	"47"	"No"	"2"	"2016"	"2016"	1
	"2nd month"	"02"	"47 weeks"	"47"	"No"	"2"	"2017"	"2017"	0
	"2nd month"	"02"	"47 weeks"	"47"	"No"	"2"	"2018"	"2018"	2
	"2nd month"	"02"	"47 weeks"	"47"	"No"	"2"	"2019"	"2019"	2
"Total"	"2nd month"	"02"	"47 weeks"	"47"	"No"	"2"			5
"Total"	"2nd month"	"02"	"47 weeks"	"47"					5
"Total"	"2nd month"	"02"							6007942
	"3rd month"	"03"	"17 weeks"	"17"	"Yes"	"1"	"2016"	"2016"	3
	"3rd month"	"03"	"17 weeks"	"17"	"Yes"	"1"	"2017"	"2017"	1
	"3rd month"	"03"	"17 weeks"	"17"	"Yes"	"1"	"2018"	"2018"	2
	"3rd month"	"03"	"17 weeks"	"17"	"Yes"	"1"	"2019"	"2019"	0
"Total"	"3rd month"	"03"	"17 weeks"	"17"	"Yes"	"1"			6
	"3rd month"	"03"	"17 weeks"	"17"	"No"	"2"	"2016"	"2016"	55
	"3rd month"	"03"	"17 weeks"	"17"	"No"	"2"	"2017"	"2017"	48
	"3rd month"	"03"	"17 weeks"	"17"	"No"	"2"	"2018"	"2018"	45
	"3rd month"	"03"	"17 weeks"	"17"	"No"	"2"	"2019"	"2019"	50
"Total"	"3rd month"	"03"	"17 weeks"	"17"	"No"	"2"			198
"Total"	"3rd month"	"03"	"17 weeks"	"17"					204
	"3rd month"	"03"	"18 weeks"	"18"	"Yes"	"1"	"2016"	"2016"	8
	"3rd month"	"03"	"18 weeks"	"18"	"Yes"	"1"	"2017"	"2017"	3
	"3rd month"	"03"	"18 weeks"	"18"	"Yes"	"1"	"2018"	"2018"	3
	"3rd month"	"03"	"18 weeks"	"18"	"Yes"	"1"	"2019"	"2019"	4
"Total"	"3rd month"	"03"	"18 weeks"	"18"	"Yes"	"1"			18
	"3rd month"	"03"	"18 weeks"	"18"	"No"	"2"	"2016"	"2016"	93
	"3rd month"	"03"	"18 weeks"	"18"	"No"	"2"	"2017"	"2017"	91
	"3rd month"	"03"	"18 weeks"	"18"	"No"	"2"	"2018"	"2018"	103
	"3rd month"	"03"	"18 weeks"	"18"	"No"	"2"	"2019"	"2019"	95
"Total"	"3rd month"	"03"	"18 weeks"	"18"	"No"	"2"			382
"Total"	"3rd month"	"03"	"18 weeks"	"18"					400
	"3rd month"	"03"	"19 weeks"	"19"	"Yes"	"1"	"2016"	"2016"	8
	"3rd month"	"03"	"19 weeks"	"19"	"Yes"	"1"	"2017"	"2017"	2
	"3rd month"	"03"	"19 weeks"	"19"	"Yes"	"1"	"2018"	"2018"	5
	"3rd month"	"03"	"19 weeks"	"19"	"Yes"	"1"	"2019"	"2019"	5
"Total"	"3rd month"	"03"	"19 weeks"	"19"	"Yes"	"1"			20
	"3rd month"	"03"	"19 weeks"	"19"	"No"	"2"	"2016"	"2016"	167
	"3rd month"	"03"	"19 weeks"	"19"	"No"	"2"	"2017"	"2017"	179
	"3rd month"	"03"	"19 weeks"	"19"	"No"	"2"	"2018"	"2018"	144
	"3rd month"	"03"	"19 weeks"	"19"	"No"	"2"	"2019"	"2019"	151
"Total"	"3rd month"	"03"	"19 weeks"	"19"	"No"	"2"			641
"Total"	"3rd month"	"03"	"19 weeks"	"19"					661
	"3rd month"	"03"	"20 weeks"	"20"	"Yes"	"1"	"2016"	"2016"	23
	"3rd month"	"03"	"20 weeks"	"20"	"Yes"	"1"	"2017"	"2017"	15
	"3rd month"	"03"	"20 weeks"	"20"	"Yes"	"1"	"2018"	"2018"	14
	"3rd month"	"03"	"20 weeks"	"20"	"Yes"	"1"	"2019"	"2019"	15
"Total"	"3rd month"	"03"	"20 weeks"	"20"	"Yes"	"1"			67
	"3rd month"	"03"	"20 weeks"	"20"	"No"	"2"	"2016"	"2016"	255
	"3rd month"	"03"	"20 weeks"	"20"	"No"	"2"	"2017"	"2017"	229
	"3rd month"	"03"	"20 weeks"	"20"	"No"	"2"	"2018"	"2018"	257
	"3rd month"	"03"	"20 weeks"	"20"	"No"	"2"	"2019"	"2019"	236
"Total"	"3rd month"	"03"	"20 weeks"	"20"	"No"	"2"			977
"Total"	"3rd month"	"03"	"20 weeks"	"20"					1044
	"3rd month"	"03"	"21 weeks"	"21"	"Yes"	"1"	"2016"	"2016"	21
	"3rd month"	"03"	"21 weeks"	"21"	"Yes"	"1"	"2017"	"2017"	22
	"3rd month"	"03"	"21 weeks"	"21"	"Yes"	"1"	"2018"	"2018"	29
	"3rd month"	"03"	"21 weeks"	"21"	"Yes"	"1"	"2019"	"2019"	21
"Total"	"3rd month"	"03"	"21 weeks"	"21"	"Yes"	"1"			93
	"3rd month"	"03"	"21 weeks"	"21"	"No"	"2"	"2016"	"2016"	313
	"3rd month"	"03"	"21 weeks"	"21"	"No"	"2"	"2017"	"2017"	306
	"3rd month"	"03"	"21 weeks"	"21"	"No"	"2"	"2018"	"2018"	272
	"3rd month"	"03"	"21 weeks"	"21"	"No"	"2"	"2019"	"2019"	264
"Total"	"3rd month"	"03"	"21 weeks"	"21"	"No"	"2"			1155
"Total"	"3rd month"	"03"	"21 weeks"	"21"					1248
	"3rd month"	"03"	"22 weeks"	"22"	"Yes"	"1"	"2016"	"2016"	113
	"3rd month"	"03"	"22 weeks"	"22"	"Yes"	"1"	"2017"	"2017"	131
	"3rd month"	"03"	"22 weeks"	"22"	"Yes"	"1"	"2018"	"2018"	122
	"3rd month"	"03"	"22 weeks"	"22"	"Yes"	"1"	"2019"	"2019"	149
"Total"	"3rd month"	"03"	"22 weeks"	"22"	"Yes"	"1"			515
	"3rd month"	"03"	"22 weeks"	"22"	"No"	"2"	"2016"	"2016"	317
	"3rd month"	"03"	"22 weeks"	"22"	"No"	"2"	"2017"	"2017"	321
	"3rd month"	"03"	"22 weeks"	"22"	"No"	"2"	"2018"	"2018"	279
	"3rd month"	"03"	"22 weeks"	"22"	"No"	"2"	"2019"	"2019"	290
"Total"	"3rd month"	"03"	"22 weeks"	"22"	"No"	"2"			1207
"Total"	"3rd month"	"03"	"22 weeks"	"22"					1722
	"3rd month"	"03"	"23 weeks"	"23"	"Yes"	"1"	"2016"	"2016"	530
	"3rd month"	"03"	"23 weeks"	"23"	"Yes"	"1"	"2017"	"2017"	509
	"3rd month"	"03"	"23 weeks"	"23"	"Yes"	"1"	"2018"	"2018"	490
	"3rd month"	"03"	"23 weeks"	"23"	"Yes"	"1"	"2019"	"2019"	445
"Total"	"3rd month"	"03"	"23 weeks"	"23"	"Yes"	"1"			1974
	"3rd month"	"03"	"23 weeks"	"23"	"No"	"2"	"2016"	"2016"	193
	"3rd month"	"03"	"23 weeks"	"23"	"No"	"2"	"2017"	"2017"	156
	"3rd month"	"03"	"23 weeks"	"23"	"No"	"2"	"2018"	"2018"	141
	"3rd month"	"03"	"23 weeks"	"23"	"No"	"2"	"2019"	"2019"	132
"Total"	"3rd month"	"03"	"23 weeks"	"23"	"No"	"2"			622
"Total"	"3rd month"	"03"	"23 weeks"	"23"					2596
	"3rd month"	"03"	"24 weeks"	"24"	"Yes"	"1"	"2016"	"2016"	781
	"3rd month"	"03"	"24 weeks"	"24"	"Yes"	"1"	"2017"	"2017"	776
	"3rd month"	"03"	"24 weeks"	"24"	"Yes"	"1"	"2018"	"2018"	708
	"3rd month"	"03"	"24 weeks"	"24"	"Yes"	"1"	"2019"	"2019"	713
"Total"	"3rd month"	"03"	"24 weeks"	"24"	"Yes"	"1"			2978
	"3rd month"	"03"	"24 weeks"	"24"	"No"	"2"	"2016"	"2016"	93
	"3rd month"	"03"	"24 weeks"	"24"	"No"	"2"	"2017"	"2017"	97
	"3rd month"	"03"	"24 weeks"	"24"	"No"	"2"	"2018"	"2018"	84
	"3rd month"	"03"	"24 weeks"	"24"	"No"	"2"	"2019"	"2019"	86
"Total"	"3rd month"	"03"	"24 weeks"	"24"	"No"	"2"			360
"Total"	"3rd month"	"03"	"24 weeks"	"24"					3338
	"3rd month"	"03"	"25 weeks"	"25"	"Yes"	"1"	"2016"	"2016"	848
	"3rd month"	"03"	"25 weeks"	"25"	"Yes"	"1"	"2017"	"2017"	839
	"3rd month"	"03"	"25 weeks"	"25"	"Yes"	"1"	"2018"	"2018"	850
	"3rd month"	"03"	"25 weeks"	"25"	"Yes"	"1"	"2019"	"2019"	813
"Total"	"3rd month"	"03"	"25 weeks"	"25"	"Yes"	"1"			3350
	"3rd month"	"03"	"25 weeks"	"25"	"No"	"2"	"2016"	"2016"	90
	"3rd month"	"03"	"25 weeks"	"25"	"No"	"2"	"2017"	"2017"	89
	"3rd month"	"03"	"25 weeks"	"25"	"No"	"2"	"2018"	"2018"	76
	"3rd month"	"03"	"25 weeks"	"25"	"No"	"2"	"2019"	"2019"	80
"Total"	"3rd month"	"03"	"25 weeks"	"25"	"No"	"2"			335
"Total"	"3rd month"	"03"	"25 weeks"	"25"					3685
	"3rd month"	"03"	"26 weeks"	"26"	"Yes"	"1"	"2016"	"2016"	981
	"3rd month"	"03"	"26 weeks"	"26"	"Yes"	"1"	"2017"	"2017"	974
	"3rd month"	"03"	"26 weeks"	"26"	"Yes"	"1"	"2018"	"2018"	912
	"3rd month"	"03"	"26 weeks"	"26"	"Yes"	"1"	"2019"	"2019"	952
"Total"	"3rd month"	"03"	"26 weeks"	"26"	"Yes"	"1"			3819
	"3rd month"	"03"	"26 weeks"	"26"	"No"	"2"	"2016"	"2016"	93
	"3rd month"	"03"	"26 weeks"	"26"	"No"	"2"	"2017"	"2017"	93
	"3rd month"	"03"	"26 weeks"	"26"	"No"	"2"	"2018"	"2018"	94
	"3rd month"	"03"	"26 weeks"	"26"	"No"	"2"	"2019"	"2019"	96
"Total"	"3rd month"	"03"	"26 weeks"	"26"	"No"	"2"			376
"Total"	"3rd month"	"03"	"26 weeks"	"26"					4195
	"3rd month"	"03"	"27 weeks"	"27"	"Yes"	"1"	"2016"	"2016"	1155
	"3rd month"	"03"	"27 weeks"	"27"	"Yes"	"1"	"2017"	"2017"	1096
	"3rd month"	"03"	"27 weeks"	"27"	"Yes"	"1"	"2018"	"2018"	1075
	"3rd month"	"03"	"27 weeks"	"27"	"Yes"	"1"	"2019"	"2019"	1175
"Total"	"3rd month"	"03"	"27 weeks"	"27"	"Yes"	"1"			4501
	"3rd month"	"03"	"27 weeks"	"27"	"No"	"2"	"2016"	"2016"	119
	"3rd month"	"03"	"27 weeks"	"27"	"No"	"2"	"2017"	"2017"	128
	"3rd month"	"03"	"27 weeks"	"27"	"No"	"2"	"2018"	"2018"	106
	"3rd month"	"03"	"27 weeks"	"27"	"No"	"2"	"2019"	"2019"	82
"Total"	"3rd month"	"03"	"27 weeks"	"27"	"No"	"2"			435
"Total"	"3rd month"	"03"	"27 weeks"	"27"					4936
	"3rd month"	"03"	"28 weeks"	"28"	"Yes"	"1"	"2016"	"2016"	1368
	"3rd month"	"03"	"28 weeks"	"28"	"Yes"	"1"	"2017"	"2017"	1454
	"3rd month"	"03"	"28 weeks"	"28"	"Yes"	"1"	"2018"	"2018"	1281
	"3rd month"	"03"	"28 weeks"	"28"	"Yes"	"1"	"2019"	"2019"	1355
"Total"	"3rd month"	"03"	"28 weeks"	"28"	"Yes"	"1"			5458
	"3rd month"	"03"	"28 weeks"	"28"	"No"	"2"	"2016"	"2016"	142
	"3rd month"	"03"	"28 weeks"	"28"	"No"	"2"	"2017"	"2017"	119
	"3rd month"	"03"	"28 weeks"	"28"	"No"	"2"	"2018"	"2018"	131
	"3rd month"	"03"	"28 weeks"	"28"	"No"	"2"	"2019"	"2019"	118
"Total"	"3rd month"	"03"	"28 weeks"	"28"	"No"	"2"			510
"Total"	"3rd month"	"03"	"28 weeks"	"28"					5968
	"3rd month"	"03"	"29 weeks"	"29"	"Yes"	"1"	"2016"	"2016"	1529
	"3rd month"	"03"	"29 weeks"	"29"	"Yes"	"1"	"2017"	"2017"	1479
	"3rd month"	"03"	"29 weeks"	"29"	"Yes"	"1"	"2018"	"2018"	1532
	"3rd month"	"03"	"29 weeks"	"29"	"Yes"	"1"	"2019"	"2019"	1484
"Total"	"3rd month"	"03"	"29 weeks"	"29"	"Yes"	"1"			6024
	"3rd month"	"03"	"29 weeks"	"29"	"No"	"2"	"2016"	"2016"	132
	"3rd month"	"03"	"29 weeks"	"29"	"No"	"2"	"2017"	"2017"	143
	"3rd month"	"03"	"29 weeks"	"29"	"No"	"2"	"2018"	"2018"	147
	"3rd month"	"03"	"29 weeks"	"29"	"No"	"2"	"2019"	"2019"	128
"Total"	"3rd month"	"03"	"29 weeks"	"29"	"No"	"2"			550
"Total"	"3rd month"	"03"	"29 weeks"	"29"					6574
	"3rd month"	"03"	"30 weeks"	"30"	"Yes"	"1"	"2016"	"2016"	1964
	"3rd month"	"03"	"30 weeks"	"30"	"Yes"	"1"	"2017"	"2017"	2082
	"3rd month"	"03"	"30 weeks"	"30"	"Yes"	"1"	"2018"	"2018"	2071
	"3rd month"	"03"	"30 weeks"	"30"	"Yes"	"1"	"2019"	"2019"	1968
"Total"	"3rd month"	"03"	"30 weeks"	"30"	"Yes"	"1"			8085
	"3rd month"	"03"	"30 weeks"	"30"	"No"	"2"	"2016"	"2016"	222
	"3rd month"	"03"	"30 weeks"	"30"	"No"	"2"	"2017"	"2017"	207
	"3rd month"	"03"	"30 weeks"	"30"	"No"	"2"	"2018"	"2018"	192
	"3rd month"	"03"	"30 weeks"	"30"	"No"	"2"	"2019"	"2019"	212
"Total"	"3rd month"	"03"	"30 weeks"	"30"	"No"	"2"			833
"Total"	"3rd month"	"03"	"30 weeks"	"30"					8918
	"3rd month"	"03"	"31 weeks"	"31"	"Yes"	"1"	"2016"	"2016"	2722
	"3rd month"	"03"	"31 weeks"	"31"	"Yes"	"1"	"2017"	"2017"	2736
	"3rd month"	"03"	"31 weeks"	"31"	"Yes"	"1"	"2018"	"2018"	2596
	"3rd month"	"03"	"31 weeks"	"31"	"Yes"	"1"	"2019"	"2019"	2679
"Total"	"3rd month"	"03"	"31 weeks"	"31"	"Yes"	"1"			10733
	"3rd month"	"03"	"31 weeks"	"31"	"No"	"2"	"2016"	"2016"	303
	"3rd month"	"03"	"31 weeks"	"31"	"No"	"2"	"2017"	"2017"	291
	"3rd month"	"03"	"31 weeks"	"31"	"No"	"2"	"2018"	"2018"	239
	"3rd month"	"03"	"31 weeks"	"31"	"No"	"2"	"2019"	"2019"	283
"Total"	"3rd month"	"03"	"31 weeks"	"31"	"No"	"2"			1116
"Total"	"3rd month"	"03"	"31 weeks"	"31"					11849
	"3rd month"	"03"	"32 weeks"	"32"	"Yes"	"1"	"2016"	"2016"	4061
	"3rd month"	"03"	"32 weeks"	"32"	"Yes"	"1"	"2017"	"2017"	4040
	"3rd month"	"03"	"32 weeks"	"32"	"Yes"	"1"	"2018"	"2018"	4181
	"3rd month"	"03"	"32 weeks"	"32"	"Yes"	"1"	"2019"	"2019"	4156
"Total"	"3rd month"	"03"	"32 weeks"	"32"	"Yes"	"1"			16438
	"3rd month"	"03"	"32 weeks"	"32"	"No"	"2"	"2016"	"2016"	521
	"3rd month"	"03"	"32 weeks"	"32"	"No"	"2"	"2017"	"2017"	514
	"3rd month"	"03"	"32 weeks"	"32"	"No"	"2"	"2018"	"2018"	505
	"3rd month"	"03"	"32 weeks"	"32"	"No"	"2"	"2019"	"2019"	460
"Total"	"3rd month"	"03"	"32 weeks"	"32"	"No"	"2"			2000
"Total"	"3rd month"	"03"	"32 weeks"	"32"					18438
	"3rd month"	"03"	"33 weeks"	"33"	"Yes"	"1"	"2016"	"2016"	5708
	"3rd month"	"03"	"33 weeks"	"33"	"Yes"	"1"	"2017"	"2017"	5691
	"3rd month"	"03"	"33 weeks"	"33"	"Yes"	"1"	"2018"	"2018"	5795
	"3rd month"	"03"	"33 weeks"	"33"	"Yes"	"1"	"2019"	"2019"	6029
"Total"	"3rd month"	"03"	"33 weeks"	"33"	"Yes"	"1"			23223
	"3rd month"	"03"	"33 weeks"	"33"	"No"	"2"	"2016"	"2016"	937
	"3rd month"	"03"	"33 weeks"	"33"	"No"	"2"	"2017"	"2017"	918
	"3rd month"	"03"	"33 weeks"	"33"	"No"	"2"	"2018"	"2018"	893
	"3rd month"	"03"	"33 weeks"	"33"	"No"	"2"	"2019"	"2019"	827
"Total"	"3rd month"	"03"	"33 weeks"	"33"	"No"	"2"			3575
"Total"	"3rd month"	"03"	"33 weeks"	"33"					26798
	"3rd month"	"03"	"34 weeks"	"34"	"Yes"	"1"	"2016"	"2016"	10571
	"3rd month"	"03"	"34 weeks"	"34"	"Yes"	"1"	"2017"	"2017"	10931
	"3rd month"	"03"	"34 weeks"	"34"	"Yes"	"1"	"2018"	"2018"	11200
	"3rd month"	"03"	"34 weeks"	"34"	"Yes"	"1"	"2019"	"2019"	11516
"Total"	"3rd month"	"03"	"34 weeks"	"34"	"Yes"	"1"			44218
	"3rd month"	"03"	"34 weeks"	"34"	"No"	"2"	"2016"	"2016"	2797
	"3rd month"	"03"	"34 weeks"	"34"	"No"	"2"	"2017"	"2017"	2588
	"3rd month"	"03"	"34 weeks"	"34"	"No"	"2"	"2018"	"2018"	2583
	"3rd month"	"03"	"34 weeks"	"34"	"No"	"2"	"2019"	"2019"	2396
"Total"	"3rd month"	"03"	"34 weeks"	"34"	"No"	"2"			10364
"Total"	"3rd month"	"03"	"34 weeks"	"34"					54582
	"3rd month"	"03"	"35 weeks"	"35"	"Yes"	"1"	"2016"	"2016"	8405
	"3rd month"	"03"	"35 weeks"	"35"	"Yes"	"1"	"2017"	"2017"	8281
	"3rd month"	"03"	"35 weeks"	"35"	"Yes"	"1"	"2018"	"2018"	8791
	"3rd month"	"03"	"35 weeks"	"35"	"Yes"	"1"	"2019"	"2019"	8585
"Total"	"3rd month"	"03"	"35 weeks"	"35"	"Yes"	"1"			34062
	"3rd month"	"03"	"35 weeks"	"35"	"No"	"2"	"2016"	"2016"	10671
	"3rd month"	"03"	"35 weeks"	"35"	"No"	"2"	"2017"	"2017"	10689
	"3rd month"	"03"	"35 weeks"	"35"	"No"	"2"	"2018"	"2018"	10631
	"3rd month"	"03"	"35 weeks"	"35"	"No"	"2"	"2019"	"2019"	10641
"Total"	"3rd month"	"03"	"35 weeks"	"35"	"No"	"2"			42632
"Total"	"3rd month"	"03"	"35 weeks"	"35"					76694
	"3rd month"	"03"	"36 weeks"	"36"	"Yes"	"1"	"2016"	"2016"	8167
	"3rd month"	"03"	"36 weeks"	"36"	"Yes"	"1"	"2017"	"2017"	8380
	"3rd month"	"03"	"36 weeks"	"36"	"Yes"	"1"	"2018"	"2018"	8474
	"3rd month"	"03"	"36 weeks"	"36"	"Yes"	"1"	"2019"	"2019"	8884
"Total"	"3rd month"	"03"	"36 weeks"	"36"	"Yes"	"1"			33905
	"3rd month"	"03"	"36 weeks"	"36"	"No"	"2"	"2016"	"2016"	32138
	"3rd month"	"03"	"36 weeks"	"36"	"No"	"2"	"2017"	"2017"	32288
	"3rd month"	"03"	"36 weeks"	"36"	"No"	"2"	"2018"	"2018"	32413
	"3rd month"	"03"	"36 weeks"	"36"	"No"	"2"	"2019"	"2019"	33070
"Total"	"3rd month"	"03"	"36 weeks"	"36"	"No"	"2"			129909
"Total"	"3rd month"	"03"	"36 weeks"	"36"					163814
	"3rd month"	"03"	"37 weeks"	"37"	"Yes"	"1"	"2016"	"2016"	8778
	"3rd month"	"03"	"37 weeks"	"37"	"Yes"	"1"	"2017"	"2017"	9564
	"3rd month"	"03"	"37 weeks"	"37"	"Yes"	"1"	"2018"	"2018"	10083
	"3rd month"	"03"	"37 weeks"	"37"	"Yes"	"1"	"2019"	"2019"	10924
"Total"	"3rd month"	"03"	"37 weeks"	"37"	"Yes"	"1"			39349
	"3rd month"	"03"	"37 weeks"	"37"	"No"	"2"	"2016"	"2016"	90966
	"3rd month"	"03"	"37 weeks"	"37"	"No"	"2"	"2017"	"2017"	93809
	"3rd month"	"03"	"37 weeks"	"37"	"No"	"2"	"2018"	"2018"	98068
	"3rd month"	"03"	"37 weeks"	"37"	"No"	"2"	"2019"	"2019"	103063
"Total"	"3rd month"	"03"	"37 weeks"	"37"	"No"	"2"			385906
"Total"	"3rd month"	"03"	"37 weeks"	"37"					425255
	"3rd month"	"03"	"38 weeks"	"38"	"Yes"	"1"	"2016"	"2016"	8031
	"3rd month"	"03"	"38 weeks"	"38"	"Yes"	"1"	"2017"	"2017"	8309
	"3rd month"	"03"	"38 weeks"	"38"	"Yes"	"1"	"2018"	"2018"	8230
	"3rd month"	"03"	"38 weeks"	"38"	"Yes"	"1"	"2019"	"2019"	8616
"Total"	"3rd month"	"03"	"38 weeks"	"38"	"Yes"	"1"			33186
	"3rd month"	"03"	"38 weeks"	"38"	"No"	"2"	"2016"	"2016"	169450
	"3rd month"	"03"	"38 weeks"	"38"	"No"	"2"	"2017"	"2017"	168244
	"3rd month"	"03"	"38 weeks"	"38"	"No"	"2"	"2018"	"2018"	170506
	"3rd month"	"03"	"38 weeks"	"38"	"No"	"2"	"2019"	"2019"	172972
"Total"	"3rd month"	"03"	"38 weeks"	"38"	"No"	"2"			681172
"Total"	"3rd month"	"03"	"38 weeks"	"38"					714358
	"3rd month"	"03"	"39 weeks"	"39"	"Yes"	"1"	"2016"	"2016"	13814
	"3rd month"	"03"	"39 weeks"	"39"	"Yes"	"1"	"2017"	"2017"	14274
	"3rd month"	"03"	"39 weeks"	"39"	"Yes"	"1"	"2018"	"2018"	14472
