Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI,State
Pregnancy Intention,Intended pregnancy,,2016,968,61.7,(57.3-65.9),Iowa
Pregnancy Intention,Intended pregnancy,,2017,1016,65.6,(61.1-69.8),Iowa
Pregnancy Intention,Intended pregnancy,,2018,844,63.5,(58.2-68.4),Iowa
Pregnancy Intention,Intended pregnancy,,2019,842,66.1,(60.8-71.0),Iowa
Postpartum Family Planning,Use of any postpartum contraception,,2016,954,80.9,(77.1-84.2),Iowa
Postpartum Family Planning,Use of any postpartum contraception,,2017,983,83.2,(79.5-86.3),Iowa
Postpartum Family Planning,Use of any postpartum contraception,,2018,813,80.9,(76.3-84.8),Iowa
Postpartum Family Planning,Use of any postpartum contraception,,2019,810,84.0,(79.7-87.5),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,954,11.3,(8.7-14.5),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,983,11.6,(9.0-14.9),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,813,13.0,(9.8-17.0),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,810,11.2,(8.1-15.2),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,954,18.1,(14.9-21.8),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,983,19.1,(15.7-23.0),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,813,20.2,(16.3-24.8),Iowa
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,810,25.4,(21.0-30.4),Iowa
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,954,29.1,(25.2-33.3),Iowa
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,983,30.3,(26.1-34.7),Iowa
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,813,27.8,(23.3-32.9),Iowa
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,810,27.6,(22.9-32.8),Iowa
Postpartum Family Planning,Least effective contraceptive methods,,2016,954,22.4,(18.9-26.4),Iowa
Postpartum Family Planning,Least effective contraceptive methods,,2017,983,22.2,(18.6-26.3),Iowa
Postpartum Family Planning,Least effective contraceptive methods,,2018,813,19.9,(16.1-24.4),Iowa
Postpartum Family Planning,Least effective contraceptive methods,,2019,810,19.8,(15.9-24.3),Iowa
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,970,55.5,(51.0-59.9),Iowa
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,1024,55.3,(50.7-59.8),Iowa
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,835,52.6,(47.3-57.9),Iowa
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,839,52.4,(47.0-57.7),Iowa
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,935,65.5,(61.1-69.6),Iowa
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,981,68.1,(63.7-72.1),Iowa
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,807,70.8,(65.8-75.4),Iowa
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,809,72.1,(67.1-76.6),Iowa
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,935,25.3,(21.5-29.5),Iowa
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,981,21.1,(17.6-25.1),Iowa
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,807,22.8,(18.4-27.9),Iowa
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,809,20.6,(16.4-25.4),Iowa
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,935,8.7,(6.7-11.2),Iowa
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,981,9.4,(7.3-12.1),Iowa
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,807,6.2,(4.8-8.1),Iowa
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,809,7.3,(5.4-9.8),Iowa
Health Insurance Status for Prenatal Care,Private insurance,,2016,884,65.4,(61.0-69.6),Iowa
Health Insurance Status for Prenatal Care,Private insurance,,2017,933,65.8,(61.2-70.1),Iowa
Health Insurance Status for Prenatal Care,Private insurance,,2018,780,69.3,(64.1-74.0),Iowa
Health Insurance Status for Prenatal Care,Private insurance,,2019,788,66.6,(61.2-71.6),Iowa
Health Insurance Status for Prenatal Care,Medicaid,,2016,884,32.2,(28.0-36.6),Iowa
Health Insurance Status for Prenatal Care,Medicaid,,2017,933,31.6,(27.4-36.2),Iowa
Health Insurance Status for Prenatal Care,Medicaid,,2018,780,29.1,(24.4-34.3),Iowa
Health Insurance Status for Prenatal Care,Medicaid,,2019,788,29.8,(25.0-35.1),Iowa
Health Insurance Status for Prenatal Care,No insurance,,2016,884,2.4,(1.5-4.0),Iowa
Health Insurance Status for Prenatal Care,No insurance,,2017,933,2.6,(1.5-4.3),Iowa
Health Insurance Status for Prenatal Care,No insurance,,2018,780,1.6,(1.1-2.5),Iowa
Health Insurance Status for Prenatal Care,No insurance,,2019,788,3.6,(1.9-6.6),Iowa
Health Insurance Status Postpartum,Private insurance,,2016,924,64.8,(60.5-69.0),Iowa
Health Insurance Status Postpartum,Private insurance,,2017,974,63.5,(59.1-67.8),Iowa
Health Insurance Status Postpartum,Private insurance,,2018,799,67.5,(62.3-72.2),Iowa
Health Insurance Status Postpartum,Private insurance,,2019,803,65.7,(60.5-70.7),Iowa
Health Insurance Status Postpartum,Medicaid,,2016,924,28.6,(24.7-32.9),Iowa
Health Insurance Status Postpartum,Medicaid,,2017,974,27.9,(23.9-32.3),Iowa
Health Insurance Status Postpartum,Medicaid,,2018,799,26.0,(21.5-31.1),Iowa
Health Insurance Status Postpartum,Medicaid,,2019,803,27.2,(22.5-32.4),Iowa
Health Insurance Status Postpartum,No insurance,,2016,924,5.7,(4.2-7.5),Iowa
Health Insurance Status Postpartum,No insurance,,2017,974,7.4,(5.7-9.7),Iowa
Health Insurance Status Postpartum,No insurance,,2018,799,6.4,(4.6-8.9),Iowa
Health Insurance Status Postpartum,No insurance,,2019,803,7.0,(5.0-9.8),Iowa
Infant Sleep Practices,Baby most often laid on back to sleep,,2016,946,87.7,(84.6-90.2),Iowa
Infant Sleep Practices,Baby most often laid on back to sleep,,2017,1002,86.7,(83.4-89.4),Iowa
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,812,82.7,(78.4-86.3),Iowa
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,815,84.8,(80.8-88.1),Iowa
Breastfeeding Practices,Ever breastfed,,2016,957,87.9,(84.7-90.6),Iowa
Breastfeeding Practices,Ever breastfed,,2017,1003,86.7,(83.2-89.6),Iowa
Breastfeeding Practices,Ever breastfed,,2018,816,85.8,(81.4-89.3),Iowa
Breastfeeding Practices,Ever breastfed,,2019,817,90.3,(86.8-93.0),Iowa
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2016,947,68.4,(64.0-72.4),Iowa
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2017,994,65.8,(61.3-70.1),Iowa
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,811,67.1,(61.8-72.0),Iowa
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2019,816,71.0,(65.9-75.7),Iowa
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,991,42.1,(38.3-46.1),Kansas
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,972,41.4,(37.5-45.5),Kansas
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1006,38.7,(34.9-42.7),Kansas
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,973,4.4,(3.0-6.4),Kansas
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,948,3.1,(1.9-5.1),Kansas
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,976,2.6,(1.6-4.4),Kansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,973,26.7,(23.2-30.5),Kansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,948,30.0,(26.2-34.0),Kansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,976,25.5,(22.1-29.3),Kansas
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,973,25.8,(22.4-29.6),Kansas
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,948,24.1,(20.7-27.8),Kansas
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,976,29.0,(25.4-32.8),Kansas
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,988,20.6,(17.5-24.1),Kansas
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,973,21.6,(18.1-25.4),Kansas
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1003,16.9,(14.1-20.2),Kansas
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,989,9.1,(7.0-11.8),Kansas
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,974,10.8,(8.3-13.9),Kansas
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1003,9.2,(7.1-11.9),Kansas
Substance Use,Any cigarette smoking,Postpartum,2017,987,12.7,(10.3-15.7),Kansas
Substance Use,Any cigarette smoking,Postpartum,2018,970,15.3,(12.3-18.8),Kansas
Substance Use,Any cigarette smoking,Postpartum,2019,1000,10.9,(8.6-13.7),Kansas
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,983,4.3,(2.9-6.3),Kansas
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,958,4.5,(3.0-6.8),Kansas
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,997,5.6,(4.0-7.8),Kansas
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,983,1.0,(0.5-2.2),Kansas
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,959,1.1,(0.5-2.4),Kansas
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,998,2.1,(1.2-3.6),Kansas
Substance Use,Hookah use in the last 2 years,,2017,970,4.2,(2.9-6.2),Kansas
Substance Use,Hookah use in the last 2 years,,2018,955,3.2,(2.0-5.0),Kansas
Substance Use,Hookah use in the last 2 years,,2019,989,2.9,(1.8-4.7),Kansas
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,979,2.9,(1.9-4.6),Kansas
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,966,3.4,(2.2-5.3),Kansas
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1001,3.7,(2.4-5.6),Kansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,984,4.6,(3.1-6.7),Kansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,967,3.9,(2.5-6.0),Kansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1001,3.4,(2.2-5.3),Kansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,981,2.6,(1.5-4.3),Kansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,967,2.2,(1.2-4.0),Kansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1000,2.8,(1.7-4.6),Kansas
Depression,Self-reported depression in the 3 months before pregnancy,,2017,993,18.9,(16.0-22.3),Kansas
Depression,Self-reported depression in the 3 months before pregnancy,,2018,972,18.5,(15.5-21.9),Kansas
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1000,20.9,(17.8-24.4),Kansas
Depression,Self-reported depression during pregnancy,,2017,983,16.8,(13.9-20.1),Kansas
Depression,Self-reported depression during pregnancy,,2018,964,18.6,(15.5-22.2),Kansas
Depression,Self-reported depression during pregnancy,,2019,991,20.9,(17.7-24.5),Kansas
Depression,Self-reported postpartum depressive symptoms,,2017,975,12.4,(9.9-15.4),Kansas
Depression,Self-reported postpartum depressive symptoms,,2018,958,14.7,(11.9-18.0),Kansas
Depression,Self-reported postpartum depressive symptoms,,2019,996,13.5,(11.0-16.6),Kansas
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,993,67.0,(63.0-70.7),Kansas
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,968,68.4,(64.3-72.2),Kansas
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1005,70.5,(66.6-74.1),Kansas
Health Care Services,Began prenatal care in 1st trimester,,2017,981,85.7,(82.4-88.5),Kansas
Health Care Services,Began prenatal care in 1st trimester,,2018,965,86.8,(83.6-89.5),Kansas
Health Care Services,Began prenatal care in 1st trimester,,2019,996,90.0,(87.2-92.3),Kansas
Health Care Services,Had a flu shot in the 12 months before birth,,2017,975,65.9,(62.0-69.7),Kansas
Health Care Services,Had a flu shot in the 12 months before birth,,2018,959,68.1,(64.1-71.8),Kansas
Health Care Services,Had a flu shot in the 12 months before birth,,2019,993,68.6,(64.7-72.3),Kansas
Health Care Services,Had maternal postpartum checkup,,2017,984,89.4,(86.5-91.8),Kansas
Health Care Services,Had maternal postpartum checkup,,2018,967,90.6,(87.5-93.0),Kansas
Health Care Services,Had maternal postpartum checkup,,2019,1007,92.5,(90.0-94.5),Kansas
Pregnancy Intention,Mistimed,,2017,976,21.6,(18.4-25.3),Kansas
Pregnancy Intention,Mistimed,,2018,955,17.6,(14.6-21.2),Kansas
Pregnancy Intention,Mistimed,,2019,985,18.9,(15.8-22.4),Kansas
Pregnancy Intention,Unwanted pregnancy,,2017,976,5.1,(3.6-7.1),Kansas
Pregnancy Intention,Unwanted pregnancy,,2018,955,5.5,(3.9-7.8),Kansas
Pregnancy Intention,Unwanted pregnancy,,2019,985,7.8,(5.8-10.4),Kansas
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,976,13.1,(10.5-16.2),Kansas
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,955,16.6,(13.5-20.1),Kansas
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,985,13.4,(10.8-16.5),Kansas
Pregnancy Intention,Intended pregnancy,,2017,976,60.2,(56.1-64.1),Kansas
Pregnancy Intention,Intended pregnancy,,2018,955,60.3,(56.0-64.4),Kansas
Pregnancy Intention,Intended pregnancy,,2019,985,59.9,(55.8-63.9),Kansas
Postpartum Family Planning,Use of any postpartum contraception,,2017,974,79.6,(76.1-82.7),Kansas
Postpartum Family Planning,Use of any postpartum contraception,,2018,952,77.4,(73.6-80.8),Kansas
Postpartum Family Planning,Use of any postpartum contraception,,2019,997,78.8,(75.3-82.0),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,974,12.8,(10.4-15.8),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,952,14.6,(11.9-17.8),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,997,11.3,(9.0-14.1),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,974,16.4,(13.6-19.7),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,952,16.0,(13.1-19.4),Kansas
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,997,17.9,(15.0-21.2),Kansas
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,974,24.9,(21.6-28.6),Kansas
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,952,22.9,(19.6-26.6),Kansas
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,997,26.3,(22.9-30.0),Kansas
Postpartum Family Planning,Least effective contraceptive methods,,2017,974,25.4,(22.0-29.1),Kansas
Postpartum Family Planning,Least effective contraceptive methods,,2018,952,23.9,(20.6-27.5),Kansas
Postpartum Family Planning,Least effective contraceptive methods,,2019,997,23.4,(20.1-26.9),Kansas
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,986,44.9,(40.9-48.9),Kansas
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,973,46.5,(42.4-50.6),Kansas
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,1002,50.0,(45.9-54.0),Kansas
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,960,73.3,(69.4-76.9),Kansas
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,930,69.3,(65.1-73.3),Kansas
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,972,67.6,(63.5-71.4),Kansas
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,960,12.4,(9.8-15.5),Kansas
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,930,12.7,(10.0-16.1),Kansas
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,972,14.8,(12.0-18.1),Kansas
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,960,14.3,(11.6-17.6),Kansas
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,930,17.9,(14.7-21.7),Kansas
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,972,17.6,(14.5-21.1),Kansas
Health Insurance Status for Prenatal Care,Private insurance,,2017,918,69.1,(65.0-72.9),Kansas
Health Insurance Status for Prenatal Care,Private insurance,,2018,907,67.8,(63.4-71.8),Kansas
Health Insurance Status for Prenatal Care,Private insurance,,2019,963,65.6,(61.5-69.5),Kansas
Health Insurance Status for Prenatal Care,Medicaid,,2017,918,27.8,(24.1-31.8),Kansas
Health Insurance Status for Prenatal Care,Medicaid,,2018,907,28.3,(24.4-32.6),Kansas
Health Insurance Status for Prenatal Care,Medicaid,,2019,963,30.1,(26.3-34.1),Kansas
Health Insurance Status for Prenatal Care,No insurance,,2017,918,3.1,(1.8-5.3),Kansas
Health Insurance Status for Prenatal Care,No insurance,,2018,907,3.9,(2.5-6.1),Kansas
Health Insurance Status for Prenatal Care,No insurance,,2019,963,4.3,(2.8-6.5),Kansas
Health Insurance Status Postpartum,Private insurance,,2017,957,68.1,(64.1-71.9),Kansas
Health Insurance Status Postpartum,Private insurance,,2018,926,66.0,(61.7-70.1),Kansas
Health Insurance Status Postpartum,Private insurance,,2019,976,63.6,(59.5-67.6),Kansas
Health Insurance Status Postpartum,Medicaid,,2017,957,19.9,(16.8-23.5),Kansas
Health Insurance Status Postpartum,Medicaid,,2018,926,19.4,(16.0-23.2),Kansas
Health Insurance Status Postpartum,Medicaid,,2019,976,21.7,(18.4-25.4),Kansas
Health Insurance Status Postpartum,No insurance,,2017,957,12.0,(9.4-15.1),Kansas
Health Insurance Status Postpartum,No insurance,,2018,926,14.6,(11.7-18.1),Kansas
Health Insurance Status Postpartum,No insurance,,2019,976,14.7,(11.9-17.9),Kansas
Infant Sleep Practices,Baby most often laid on back to sleep,,2017,922,80.2,(76.6-83.4),Kansas
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,921,84.8,(81.6-87.6),Kansas
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,964,84.4,(81.1-87.2),Kansas
Breastfeeding Practices,Ever breastfed,,2017,937,90.1,(87.2-92.4),Kansas
Breastfeeding Practices,Ever breastfed,,2018,937,91.1,(88.4-93.3),Kansas
Breastfeeding Practices,Ever breastfed,,2019,978,88.1,(85.1-90.5),Kansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2017,934,70.0,(66.1-73.7),Kansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,923,74.0,(70.1-77.6),Kansas
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2019,974,72.1,(68.2-75.6),Kansas
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,700,33.0,(28.8-37.6),Kentucky
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,751,37.8,(33.3-42.5),Kentucky
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,907,35.4,(31.3-39.7),Kentucky
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,669,4.8,(3.0-7.4),Kentucky
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,718,3.7,(2.2-6.2),Kentucky
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,874,4.7,(3.2-7.0),Kentucky
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,669,20.2,(16.6-24.2),Kentucky
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,718,21.4,(17.7-25.6),Kentucky
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,874,23.2,(19.7-27.1),Kentucky
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,669,30.0,(25.8-34.6),Kentucky
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,718,36.0,(31.6-40.8),Kentucky
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,874,30.1,(26.2-34.3),Kentucky
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,686,29.3,(25.1-33.9),Kentucky
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,741,28.8,(24.6-33.3),Kentucky
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,905,27.8,(24.0-31.9),Kentucky
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,686,16.8,(13.4-20.8),Kentucky
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,742,15.9,(12.6-19.8),Kentucky
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,904,13.9,(11.1-17.2),Kentucky
Substance Use,Any cigarette smoking,Postpartum,2017,685,20.2,(16.6-24.4),Kentucky
Substance Use,Any cigarette smoking,Postpartum,2018,741,19.9,(16.3-24.1),Kentucky
Substance Use,Any cigarette smoking,Postpartum,2019,902,18.0,(14.8-21.7),Kentucky
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,683,6.6,(4.5-9.5),Kentucky
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,740,7.6,(5.4-10.8),Kentucky
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,900,8.2,(6.0-11.1),Kentucky
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,683,3.4,(1.9-5.7),Kentucky
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,740,4.0,(2.4-6.6),Kentucky
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,901,2.9,(1.7-4.8),Kentucky
Substance Use,Hookah use in the last 2 years,,2017,678,3.5,(2.2-5.5),Kentucky
Substance Use,Hookah use in the last 2 years,,2018,727,3.7,(2.4-5.9),Kentucky
Substance Use,Hookah use in the last 2 years,,2019,885,2.6,(1.7-4.1),Kentucky
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,685,2.7,(1.5-4.7),Kentucky
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,742,1.7,(0.8-3.4),Kentucky
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,902,1.5,(0.8-2.8),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,673,3.9,(2.4-6.2),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,725,2.7,(1.5-4.5),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,884,3.8,(2.4-6.0),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,670,2.2,(1.2-4.0),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,721,2.5,(1.4-4.3),Kentucky
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,885,2.9,(1.7-4.9),Kentucky
Depression,Self-reported depression in the 3 months before pregnancy,,2017,695,16.2,(13.1-20.0),Kentucky
Depression,Self-reported depression in the 3 months before pregnancy,,2018,741,22.5,(18.7-26.8),Kentucky
Depression,Self-reported depression in the 3 months before pregnancy,,2019,901,20.5,(17.2-24.3),Kentucky
Depression,Self-reported depression during pregnancy,,2017,685,14.8,(11.7-18.5),Kentucky
Depression,Self-reported depression during pregnancy,,2018,741,20.5,(16.9-24.6),Kentucky
Depression,Self-reported depression during pregnancy,,2019,898,20.2,(16.9-24.0),Kentucky
Depression,Self-reported postpartum depressive symptoms,,2017,683,14.0,(11.1-17.6),Kentucky
Depression,Self-reported postpartum depressive symptoms,,2018,738,14.0,(11.0-17.6),Kentucky
Depression,Self-reported postpartum depressive symptoms,,2019,895,13.9,(11.1-17.3),Kentucky
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,694,66.3,(61.7-70.7),Kentucky
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,749,67.7,(63.1-72.0),Kentucky
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,904,70.2,(66.0-74.1),Kentucky
Health Care Services,Began prenatal care in 1st trimester,,2017,678,88.2,(84.6-90.9),Kentucky
Health Care Services,Began prenatal care in 1st trimester,,2018,735,89.2,(85.8-91.8),Kentucky
Health Care Services,Began prenatal care in 1st trimester,,2019,897,87.9,(84.4-90.7),Kentucky
Health Care Services,Had a flu shot in the 12 months before birth,,2017,691,51.9,(47.1-56.6),Kentucky
Health Care Services,Had a flu shot in the 12 months before birth,,2018,737,49.0,(44.3-53.8),Kentucky
Health Care Services,Had a flu shot in the 12 months before birth,,2019,898,53.7,(49.3-58.1),Kentucky
Health Care Services,Had maternal postpartum checkup,,2017,688,89.3,(85.9-91.9),Kentucky
Health Care Services,Had maternal postpartum checkup,,2018,742,88.5,(85.0-91.2),Kentucky
Health Care Services,Had maternal postpartum checkup,,2019,902,89.2,(85.8-91.8),Kentucky
Pregnancy Intention,Mistimed,,2017,683,20.3,(16.8-24.3),Kentucky
Pregnancy Intention,Mistimed,,2018,741,16.4,(13.3-20.0),Kentucky
Pregnancy Intention,Mistimed,,2019,901,20.0,(16.7-23.7),Kentucky
Pregnancy Intention,Unwanted pregnancy,,2017,683,5.9,(4.2-8.4),Kentucky
Pregnancy Intention,Unwanted pregnancy,,2018,741,9.3,(6.8-12.5),Kentucky
Pregnancy Intention,Unwanted pregnancy,,2019,901,7.0,(5.1-9.7),Kentucky
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,683,17.6,(14.1-21.6),Kentucky
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,741,17.0,(13.8-20.9),Kentucky
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,901,18.1,(15.0-21.8),Kentucky
Pregnancy Intention,Intended pregnancy,,2017,683,56.3,(51.5-60.9),Kentucky
Pregnancy Intention,Intended pregnancy,,2018,741,57.4,(52.6-61.9),Kentucky
Pregnancy Intention,Intended pregnancy,,2019,901,54.8,(50.4-59.2),Kentucky
Postpartum Family Planning,Use of any postpartum contraception,,2017,678,80.6,(76.6-84.0),Kentucky
Postpartum Family Planning,Use of any postpartum contraception,,2018,736,80.2,(76.1-83.7),Kentucky
