Category,Indicator,Year,SampleSize,Prevalence,CI,State
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,678,2.2,(1.2-4.0),Maine
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,952,1.8,(1.1-3.1),Maine
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,913,1.9,(1.1-3.3),Maine
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,844,1.0,(0.4-2.2),Maine
Depression,Told by a provider had depression before pregnancy,2012,671,19.8,(16.4-23.6),Maine
Depression,Told by a provider had depression before pregnancy,2013,942,17.2,(14.5-20.2),Maine
Depression,Told by a provider had depression before pregnancy,2014,910,14.8,(12.3-17.7),Maine
Depression,Told by a provider had depression before pregnancy,2015,832,16.1,(13.4-19.3),Maine
Depression,Self-reported postpartum depressive symptoms,2012,673,10.5,(8.1-13.6),Maine
Depression,Self-reported postpartum depressive symptoms,2013,945,9.1,(7.2-11.4),Maine
Depression,Self-reported postpartum depressive symptoms,2014,906,9.5,(7.5-12.0),Maine
Depression,Self-reported postpartum depressive symptoms,2015,839,8.3,(6.4-10.7),Maine
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,594,38.3,(33.8-43.0),Maine
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,799,29.6,(26.1-33.4),Maine
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,764,32.9,(29.0-36.9),Maine
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,709,29.2,(25.4-33.4),Maine
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,667,11.5,(8.9-14.8),Maine
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,933,13.8,(11.4-16.6),Maine
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,907,15.6,(13.0-18.7),Maine
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,829,13.4,(10.8-16.4),Maine
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,673,81.4,(77.7-84.6),Maine
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,945,80.8,(77.7-83.5),Maine
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,905,81.7,(78.5-84.5),Maine
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,838,82.3,(79.0-85.1),Maine
Health Care Services,Talked to provider about improving health before pregnancy,2012,673,22.1,(18.7-25.9),Maine
Health Care Services,Talked to provider about improving health before pregnancy,2013,941,29.3,(26.1-32.8),Maine
Health Care Services,Talked to provider about improving health before pregnancy,2014,911,22.5,(19.6-25.8),Maine
Health Care Services,Talked to provider about improving health before pregnancy,2015,834,25.7,(22.3-29.3),Maine
Health Care Services,Began prenatal care in 1st trimester,2012,661,85.8,(82.3-88.7),Maine
Health Care Services,Began prenatal care in 1st trimester,2013,931,89.7,(87.2-91.8),Maine
Health Care Services,Began prenatal care in 1st trimester,2014,900,90.5,(88.0-92.6),Maine
Health Care Services,Began prenatal care in 1st trimester,2015,824,91.7,(89.1-93.8),Maine
Health Care Services,Took childbirth class,2012,675,26.1,(22.5-30.1),Maine
Health Care Services,Took childbirth class,2013,948,26.7,(23.6-30.1),Maine
Health Care Services,Took childbirth class,2014,911,26.9,(23.6-30.4),Maine
Health Care Services,Took childbirth class,2015,838,27.4,(24.0-31.1),Maine
Health Care Services,Had home visitor during pregnancy,2012,674,7.4,(5.4-10.1),Maine
Health Care Services,Had home visitor during pregnancy,2013,946,7.9,(6.1-10.2),Maine
Health Care Services,Had home visitor during pregnancy,2014,913,7.1,(5.3-9.4),Maine
Health Care Services,Had home visitor during pregnancy,2015,836,6.6,(4.8-8.9),Maine
Health Care Services,Had flu shot before or during pregnancy,2012,668,52.6,(48.1-57.0),Maine
Health Care Services,Had flu shot before or during pregnancy,2013,933,66.3,(62.7-69.8),Maine
Health Care Services,Had flu shot before or during pregnancy,2014,888,60.6,(56.8-64.4),Maine
Health Care Services,Had flu shot before or during pregnancy,2015,828,59.7,(55.6-63.6),Maine
Health Care Services,Had maternal postpartum checkup,2012,674,90.7,(87.8-93.0),Maine
Health Care Services,Had maternal postpartum checkup,2013,947,92.8,(90.7-94.5),Maine
Health Care Services,Had maternal postpartum checkup,2014,912,91.5,(88.9-93.4),Maine
Health Care Services,Had maternal postpartum checkup,2015,843,93.4,(91.0-95.2),Maine
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,678,55.3,(50.9-59.7),Maine
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,952,55.4,(51.7-59.1),Maine
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,910,51.8,(48.0-55.6),Maine
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,840,56.7,(52.7-60.7),Maine
Oral Health,Teeth cleaned during pregnancy,2012,672,43.3,(39.0-47.7),Maine
Oral Health,Teeth cleaned during pregnancy,2013,945,45.5,(41.9-49.2),Maine
Oral Health,Teeth cleaned during pregnancy,2014,909,41.3,(37.6-45.1),Maine
Oral Health,Teeth cleaned during pregnancy,2015,831,45.6,(41.6-49.7),Maine
Oral Health,Had dental insurance during pregnancy,2012,668,57.3,(52.8-61.6),Maine
Oral Health,Had dental insurance during pregnancy,2013,939,57.1,(53.3-60.7),Maine
Oral Health,Had dental insurance during pregnancy,2014,902,56.9,(53.1-60.7),Maine
Oral Health,Had dental insurance during pregnancy,2015,826,59.7,(55.7-63.6),Maine
Pre-pregnancy Health Insurance Status,Private insurance,2012,666,50.1,(45.6-54.5),Maine
Pre-pregnancy Health Insurance Status,Private insurance,2013,922,57.1,(53.3-60.8),Maine
Pre-pregnancy Health Insurance Status,Private insurance,2014,897,54.5,(50.7-58.4),Maine
Pre-pregnancy Health Insurance Status,Private insurance,2015,808,63.4,(59.3-67.4),Maine
Pre-pregnancy Health Insurance Status,Medicaid,2012,666,36.8,(32.6-41.3),Maine
Pre-pregnancy Health Insurance Status,Medicaid,2013,922,31.3,(27.9-34.9),Maine
Pre-pregnancy Health Insurance Status,Medicaid,2014,897,28.9,(25.4-32.6),Maine
Pre-pregnancy Health Insurance Status,Medicaid,2015,808,24.6,(21.1-28.5),Maine
Pre-pregnancy Health Insurance Status,No insurance,2012,666,13.1,(10.4-16.4),Maine
Pre-pregnancy Health Insurance Status,No insurance,2013,922,11.6,(9.4-14.2),Maine
Pre-pregnancy Health Insurance Status,No insurance,2014,897,16.6,(13.8-19.8),Maine
Pre-pregnancy Health Insurance Status,No insurance,2015,808,12.0,(9.6-15.0),Maine
Health Insurance Status During Pregnancy,Private insurance,2012,667,49.7,(45.3-54.2),Maine
Health Insurance Status During Pregnancy,Private insurance,2013,926,55.5,(51.7-59.2),Maine
Health Insurance Status During Pregnancy,Private insurance,2014,882,54.5,(50.6-58.4),Maine
Health Insurance Status During Pregnancy,Private insurance,2015,818,61.0,(56.9-64.9),Maine
Health Insurance Status During Pregnancy,Medicaid,2012,667,48.8,(44.4-53.3),Maine
Health Insurance Status During Pregnancy,Medicaid,2013,926,43.0,(39.4-46.8),Maine
Health Insurance Status During Pregnancy,Medicaid,2014,882,42.6,(38.8-46.5),Maine
Health Insurance Status During Pregnancy,Medicaid,2015,818,37.2,(33.3-41.3),Maine
Health Insurance Status During Pregnancy,No insurance,2012,673,1.9,(1.0-3.4),Maine
Health Insurance Status During Pregnancy,No insurance,2013,949,2.1,(1.3-3.5),Maine
Health Insurance Status During Pregnancy,No insurance,2014,911,4.1,(2.8-5.9),Maine
Health Insurance Status During Pregnancy,No insurance,2015,844,2.3,(1.3-4.0),Maine
Health Insurance Status Postpartum,Private insurance,2012,672,46.2,(41.9-50.6),Maine
Health Insurance Status Postpartum,Private insurance,2013,936,51.7,(48.0-55.4),Maine
Health Insurance Status Postpartum,Private insurance,2014,902,51.8,(47.9-55.6),Maine
Health Insurance Status Postpartum,Private insurance,2015,823,58.9,(54.8-62.9),Maine
Health Insurance Status Postpartum,Medicaid,2012,672,50.3,(45.9-54.7),Maine
Health Insurance Status Postpartum,Medicaid,2013,936,40.9,(37.3-44.7),Maine
Health Insurance Status Postpartum,Medicaid,2014,902,37.8,(34.1-41.6),Maine
Health Insurance Status Postpartum,Medicaid,2015,823,29.7,(26.1-33.6),Maine
Health Insurance Status Postpartum,No insurance,2012,681,3.4,(2.1-5.4),Maine
Health Insurance Status Postpartum,No insurance,2013,953,7.3,(5.6-9.5),Maine
Health Insurance Status Postpartum,No insurance,2014,914,10.3,(8.1-13.0),Maine
Health Insurance Status Postpartum,No insurance,2015,846,11.1,(8.7-14.0),Maine
Infant Sleep Practices,Baby most often laid on back to sleep,2012,653,83.0,(79.3-86.1),Maine
Infant Sleep Practices,Baby most often laid on back to sleep,2013,908,84.2,(81.3-86.8),Maine
Infant Sleep Practices,Baby most often laid on back to sleep,2014,885,83.6,(80.5-86.2),Maine
Infant Sleep Practices,Baby most often laid on back to sleep,2015,803,84.0,(80.9-86.8),Maine
Breastfeeding Practices,Ever breastfed,2012,660,82.9,(79.1-86.0),Maine
Breastfeeding Practices,Ever breastfed,2013,913,87.6,(84.9-89.9),Maine
Breastfeeding Practices,Ever breastfed,2014,889,87.2,(84.3-89.6),Maine
Breastfeeding Practices,Ever breastfed,2015,818,88.3,(85.3-90.7),Maine
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,657,61.1,(56.7-65.4),Maine
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,910,65.5,(61.8-69.0),Maine
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,883,69.3,(65.6-72.8),Maine
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,814,69.1,(65.2-72.7),Maine
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,931,42.2,(38.4-46.0),Maryland
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1294,40.8,(37.7-43.9),Maryland
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1335,39.7,(36.7-42.7),Maryland
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1284,40.8,(37.8-44.0),Maryland
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,940,29.7,(26.3-33.4),Maryland
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1298,30.7,(27.8-33.7),Maryland
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1335,26.3,(23.7-29.1),Maryland
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1284,25.6,(23.0-28.4),Maryland
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,942,44.3,(40.6-48.2),Maryland
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1301,46.3,(43.1-49.5),Maryland
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1335,46.0,(42.9-49.1),Maryland
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1285,44.6,(41.5-47.8),Maryland
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,881,3.3,(2.2-5.0),Maryland
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1219,2.6,(1.8-3.9),Maryland
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1229,3.7,(2.6-5.1),Maryland
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1181,3.3,(2.3-4.8),Maryland
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,881,22.6,(19.4-26.1),Maryland
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1219,25.7,(22.9-28.7),Maryland
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1229,25.5,(22.8-28.4),Maryland
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1181,24.8,(22.1-27.7),Maryland
Pre-pregnancy Weight,Obese (BMI >30),2012,881,24.9,(21.6-28.5),Maryland
Pre-pregnancy Weight,Obese (BMI >30),2013,1219,24.2,(21.5-27.1),Maryland
Pre-pregnancy Weight,Obese (BMI >30),2014,1229,21.1,(18.6-23.9),Maryland
Pre-pregnancy Weight,Obese (BMI >30),2015,1181,24.5,(21.8-27.5),Maryland
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,930,18.0,(15.2-21.1),Maryland
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1291,16.1,(13.8-18.6),Maryland
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1327,15.3,(13.1-17.7),Maryland
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1269,14.3,(12.2-16.8),Maryland
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,931,7.0,(5.3-9.3),Maryland
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1293,7.8,(6.2-9.7),Maryland
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1326,6.5,(5.1-8.3),Maryland
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1273,5.9,(4.5-7.6),Maryland
Substance Use,Any cigarette smoking postpartum,2012,925,10.3,(8.2-12.9),Maryland
Substance Use,Any cigarette smoking postpartum,2013,1293,11.3,(9.4-13.6),Maryland
Substance Use,Any cigarette smoking postpartum,2014,1327,9.4,(7.7-11.5),Maryland
Substance Use,Any cigarette smoking postpartum,2015,1271,9.1,(7.4-11.2),Maryland
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,932,52.5,(48.7-56.4),Maryland
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1290,50.4,(47.2-53.6),Maryland
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1324,50.8,(47.7-53.9),Maryland
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1265,51.2,(48.0-54.4),Maryland
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,933,9.3,(7.3-11.8),Maryland
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1289,7.7,(6.1-9.5),Maryland
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1328,9.5,(7.8-11.4),Maryland
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1271,9.7,(8.0-11.7),Maryland
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,930,3.5,(2.3-5.2),Maryland
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1289,2.2,(1.4-3.4),Maryland
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1327,1.8,(1.1-2.9),Maryland
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1269,2.6,(1.7-3.8),Maryland
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,929,2.5,(1.5-3.9),Maryland
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1288,2.0,(1.3-3.2),Maryland
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1329,1.7,(1.0-2.7),Maryland
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1266,2.4,(1.6-3.6),Maryland
Depression,Told by a provider had depression before pregnancy,2012,920,10.6,(8.4-13.2),Maryland
Depression,Told by a provider had depression before pregnancy,2013,1284,8.7,(7.0-10.7),Maryland
Depression,Told by a provider had depression before pregnancy,2014,1322,8.4,(6.8-10.3),Maryland
Depression,Told by a provider had depression before pregnancy,2015,1269,9.4,(7.7-11.5),Maryland
Depression,Self-reported postpartum depressive symptoms,2012,915,12.3,(10.0-15.1),Maryland
Depression,Self-reported postpartum depressive symptoms,2013,1264,11.4,(9.4-13.6),Maryland
Depression,Self-reported postpartum depressive symptoms,2014,1304,12.0,(10.1-14.2),Maryland
Depression,Self-reported postpartum depressive symptoms,2015,1246,11.9,(9.9-14.1),Maryland
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,814,33.7,(29.9-37.7),Maryland
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1112,32.2,(29.0-35.6),Maryland
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,1105,33.7,(30.5-37.0),Maryland
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1071,30.2,(27.1-33.5),Maryland
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,923,11.9,(9.6-14.7),Maryland
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1279,13.0,(10.9-15.4),Maryland
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1307,16.4,(14.2-19.0),Maryland
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1260,16.0,(13.8-18.5),Maryland
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,918,79.2,(75.9-82.2),Maryland
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1281,75.5,(72.6-78.2),Maryland
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1308,76.6,(73.9-79.1),Maryland
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1257,75.0,(72.1-77.6),Maryland
Health Care Services,Talked to provider about improving health before pregnancy,2012,934,28.2,(24.8-31.8),Maryland
Health Care Services,Talked to provider about improving health before pregnancy,2013,1298,24.9,(22.3-27.8),Maryland
Health Care Services,Talked to provider about improving health before pregnancy,2014,1335,24.5,(22.0-27.3),Maryland
Health Care Services,Talked to provider about improving health before pregnancy,2015,1285,25.9,(23.3-28.8),Maryland
Health Care Services,Began prenatal care in 1st trimester,2012,927,80.1,(76.8-83.1),Maryland
Health Care Services,Began prenatal care in 1st trimester,2013,1268,83.0,(80.3-85.4),Maryland
Health Care Services,Began prenatal care in 1st trimester,2014,1309,82.2,(79.7-84.5),Maryland
Health Care Services,Began prenatal care in 1st trimester,2015,1249,80.5,(77.9-82.9),Maryland
Health Care Services,Took childbirth class,2012,927,24.3,(21.2-27.7),Maryland
Health Care Services,Took childbirth class,2013,1290,24.1,(21.5-26.9),Maryland
Health Care Services,Took childbirth class,2014,1327,22.1,(19.7-24.8),Maryland
Health Care Services,Took childbirth class,2015,1267,19.8,(17.4-22.4),Maryland
Health Care Services,Had home visitor during pregnancy,2012,929,6.3,(4.7-8.5),Maryland
Health Care Services,Had home visitor during pregnancy,2013,1289,9.6,(7.8-11.8),Maryland
Health Care Services,Had home visitor during pregnancy,2014,1326,8.6,(7.0-10.6),Maryland
Health Care Services,Had home visitor during pregnancy,2015,1266,9.0,(7.4-11.1),Maryland
Health Care Services,Had flu shot before or during pregnancy,2012,924,47.8,(44.0-51.7),Maryland
Health Care Services,Had flu shot before or during pregnancy,2013,1260,53.5,(50.2-56.7),Maryland
Health Care Services,Had flu shot before or during pregnancy,2014,1297,51.8,(48.7-55.0),Maryland
Health Care Services,Had flu shot before or during pregnancy,2015,1232,59.1,(55.9-62.3),Maryland
Health Care Services,Had maternal postpartum checkup,2012,921,91.4,(88.9-93.3),Maryland
Health Care Services,Had maternal postpartum checkup,2013,1283,89.1,(86.8-91.0),Maryland
Health Care Services,Had maternal postpartum checkup,2014,1323,90.7,(88.6-92.4),Maryland
Health Care Services,Had maternal postpartum checkup,2015,1263,90.4,(88.3-92.1),Maryland
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,941,59.8,(55.9-63.5),Maryland
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1299,57.6,(54.4-60.8),Maryland
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1337,59.6,(56.6-62.6),Maryland
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1285,57.7,(54.6-60.8),Maryland
Oral Health,Teeth cleaned during pregnancy,2012,922,54.1,(50.2-57.9),Maryland
Oral Health,Teeth cleaned during pregnancy,2013,1283,54.6,(51.4-57.8),Maryland
Oral Health,Teeth cleaned during pregnancy,2014,1325,53.3,(50.2-56.4),Maryland
Oral Health,Teeth cleaned during pregnancy,2015,1263,52.6,(49.4-55.7),Maryland
Oral Health,Had dental insurance during pregnancy,2012,916,81.3,(78.0-84.1),Maryland
Oral Health,Had dental insurance during pregnancy,2013,1266,79.5,(76.7-82.0),Maryland
Oral Health,Had dental insurance during pregnancy,2014,1305,79.4,(76.8-81.8),Maryland
Oral Health,Had dental insurance during pregnancy,2015,1255,79.6,(77.0-82.0),Maryland
Pre-pregnancy Health Insurance Status,Private insurance,2012,869,62.9,(58.9-66.7),Maryland
Pre-pregnancy Health Insurance Status,Private insurance,2013,1239,62.6,(59.4-65.8),Maryland
Pre-pregnancy Health Insurance Status,Private insurance,2014,1260,62.4,(59.3-65.4),Maryland
Pre-pregnancy Health Insurance Status,Private insurance,2015,1222,60.8,(57.6-63.9),Maryland
Pre-pregnancy Health Insurance Status,Medicaid,2012,869,17.9,(15.0-21.3),Maryland
Pre-pregnancy Health Insurance Status,Medicaid,2013,1239,16.9,(14.5-19.6),Maryland
Pre-pregnancy Health Insurance Status,Medicaid,2014,1260,18.0,(15.6-20.6),Maryland
Pre-pregnancy Health Insurance Status,Medicaid,2015,1222,21.6,(19.0-24.4),Maryland
Pre-pregnancy Health Insurance Status,No insurance,2012,869,19.2,(16.3-22.5),Maryland
Pre-pregnancy Health Insurance Status,No insurance,2013,1239,20.5,(17.9-23.3),Maryland
Pre-pregnancy Health Insurance Status,No insurance,2014,1260,19.6,(17.2-22.3),Maryland
Pre-pregnancy Health Insurance Status,No insurance,2015,1222,17.6,(15.4-20.2),Maryland
Health Insurance Status During Pregnancy,Private insurance,2012,855,58.7,(54.7-62.6),Maryland
Health Insurance Status During Pregnancy,Private insurance,2013,1197,62.8,(59.4-66.0),Maryland
Health Insurance Status During Pregnancy,Private insurance,2014,1210,61.8,(58.6-64.9),Maryland
Health Insurance Status During Pregnancy,Private insurance,2015,1174,60.2,(56.9-63.4),Maryland
Health Insurance Status During Pregnancy,Medicaid,2012,855,35.8,(32.0-39.8),Maryland
Health Insurance Status During Pregnancy,Medicaid,2013,1197,31.3,(28.2-34.5),Maryland
Health Insurance Status During Pregnancy,Medicaid,2014,1210,31.8,(28.8-34.9),Maryland
Health Insurance Status During Pregnancy,Medicaid,2015,1174,34.9,(31.7-38.1),Maryland
Health Insurance Status During Pregnancy,No insurance,2012,924,5.1,(3.7-7.0),Maryland
Health Insurance Status During Pregnancy,No insurance,2013,1293,5.7,(4.4-7.4),Maryland
Health Insurance Status During Pregnancy,No insurance,2014,1317,5.9,(4.7-7.6),Maryland
Health Insurance Status During Pregnancy,No insurance,2015,1270,4.7,(3.6-6.1),Maryland
Health Insurance Status Postpartum,Private insurance,2012,864,60.1,(56.1-64.0),Maryland
Health Insurance Status Postpartum,Private insurance,2013,1201,60.2,(56.8-63.4),Maryland
Health Insurance Status Postpartum,Private insurance,2014,1247,58.9,(55.7-62.0),Maryland
Health Insurance Status Postpartum,Private insurance,2015,1193,57.2,(53.9-60.4),Maryland
Health Insurance Status Postpartum,Medicaid,2012,864,24.1,(20.8-27.8),Maryland
Health Insurance Status Postpartum,Medicaid,2013,1201,22.7,(19.9-25.7),Maryland
Health Insurance Status Postpartum,Medicaid,2014,1247,25.9,(23.1-28.9),Maryland
Health Insurance Status Postpartum,Medicaid,2015,1193,30.1,(27.2-33.3),Maryland
Health Insurance Status Postpartum,No insurance,2012,921,14.9,(12.3-17.9),Maryland
Health Insurance Status Postpartum,No insurance,2013,1281,16.0,(13.7-18.6),Maryland
Health Insurance Status Postpartum,No insurance,2014,1321,14.3,(12.3-16.6),Maryland
Health Insurance Status Postpartum,No insurance,2015,1262,11.9,(10.0-14.0),Maryland
Infant Sleep Practices,Baby most often laid on back to sleep,2012,880,73.3,(69.6-76.7),Maryland
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1245,72.4,(69.4-75.3),Maryland
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1283,76.0,(73.2-78.6),Maryland
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1222,74.6,(71.7-77.3),Maryland
Breastfeeding Practices,Ever breastfed,2012,893,86.1,(83.1-88.6),Maryland
Breastfeeding Practices,Ever breastfed,2013,1261,87.5,(85.1-89.5),Maryland
Breastfeeding Practices,Ever breastfed,2014,1295,89.3,(87.2-91.2),Maryland
Breastfeeding Practices,Ever breastfed,2015,1240,87.3,(84.9-89.4),Maryland
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,879,63.9,(60.0-67.6),Maryland
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1251,66.9,(63.8-69.9),Maryland
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1283,70.8,(67.8-73.6),Maryland
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1228,67.8,(64.7-70.8),Maryland
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1524,46.9,(43.6-50.3),Massachusetts
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1454,47.5,(44.0-51.0),Massachusetts
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1524,48.8,(45.5-52.1),Massachusetts
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1314,49.2,(45.9-52.5),Massachusetts
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1530,31.4,(28.3-34.7),Massachusetts
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1461,28.6,(25.5-31.9),Massachusetts
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1526,32.2,(29.1-35.5),Massachusetts
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1321,32.2,(29.1-35.4),Massachusetts
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1529,45.4,(42.1-48.8),Massachusetts
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1460,46.3,(42.8-49.8),Massachusetts
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1531,49.7,(46.4-53.0),Massachusetts
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1320,49.6,(46.3-52.9),Massachusetts
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1468,3.7,(2.7-5.1),Massachusetts
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1405,3.7,(2.5-5.2),Massachusetts
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1475,3.4,(2.5-4.7),Massachusetts
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1270,3.0,(2.1-4.3),Massachusetts
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1468,23.3,(20.5-26.3),Massachusetts
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1405,23.7,(20.8-26.8),Massachusetts
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1475,22.7,(19.9-25.7),Massachusetts
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1270,23.7,(20.9-26.7),Massachusetts
Pre-pregnancy Weight,Obese (BMI >30),2012,1468,18.4,(15.8-21.2),Massachusetts
Pre-pregnancy Weight,Obese (BMI >30),2013,1405,18.7,(16.1-21.7),Massachusetts
Pre-pregnancy Weight,Obese (BMI >30),2014,1475,18.7,(16.2-21.5),Massachusetts
Pre-pregnancy Weight,Obese (BMI >30),2015,1270,18.1,(15.7-20.7),Massachusetts
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1509,19.4,(16.6-22.5),Massachusetts
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1455,17.9,(15.1-21.1),Massachusetts
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1529,15.1,(12.7-17.8),Massachusetts
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1311,13.9,(11.6-16.5),Massachusetts
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1507,8.3,(6.4-10.7),Massachusetts
